product_name,brands,stores,nutriscore_grade,nutrition_score_fr,energy_kcal,fat_100g,saturated_fat_100g,sugars_100g,salt_100g,fiber_100g,proteins_100g,labels,origins,categories,url,code,has_label_bio,nutrient_density,scoring_nutritionnel_personnalise,qualite_nutritionnelle
Tomato Passata,Cucina,,A,,27.0,0.2,0.1,3.8,0.03,1.8,1.6,En:Fsc,,"Plant-Based Foods And Boissons,Plant-Based Foods,Fruits And Vegetables Based Foods,Condiments,Vegetables Based Foods,Sauces,Tomatoes And Their Products,Tomato Sauces,Strained Tomatoes",https://world.openfoodfacts.org/product/4088600550848/tomato-passata-cucina,4088600550848,False,4.821428571428572,27.5,Excellent
Baked Beans,Heinz,"Asda,Дикси,Lidl,Netto Marken-Discount,Sainsburys,Tesco",A,,81.0,0.4,0.1,4.3,0.6,3.9,4.8,No Gluten,,"Plant-Based Foods And Boissons,Plant-Based Foods,Fruits And Vegetables Based Foods,Legumes And Their Products,Vegetable-Based Foods And Boissons,Canned Foods,Legumes,Vegetables Based Foods,Canned Plant-Based Foods,Prepared Vegetables,Baked Beans In Tomato Sauce,Canned Legumes,Canned Common Beans",https://world.openfoodfacts.org/product/5000157024671/baked-beans-heinz,5000157024671,False,8.526315789473685,76.69999999999999,Excellent
Double concentré de tomates,Aicha,,A,,123.0,0.4,0.1,9.0,0.5,3.0,4.6,"Sans Gluten,Sans Conservateurs",,"Plant-Based Foods And Boissons, Plant-Based Foods, Fruits And Vegetables Based Foods, Vegetables Based Foods, Tomatoes And Their Products, Tomato Pastes, Aliments D'Origine Végétale, Aliments Et Boissons À Base De Végétaux, Aliments À Base De Fruits Et De Légumes, Canned-Double-Concentrate-Tomato-Paste, Concentrés De Tomates, Légumes Et Dérivés, Tomates Et Dérivés, En:Double-Concentrate-Tomato-Paste",https://world.openfoodfacts.org/product/6111021026000/double-concentre-de-tomates-aicha,6111021026000,False,8.785714285714286,124.5,Excellent
Double concentre de tomate,Aicha,,A,,117.0,0.4,0.0,9.0,0.8,3.0,4.6,,,"Plant-Based Foods And Boissons, Plant-Based Foods, Fruits And Vegetables Based Foods, Vegetables Based Foods, Tomatoes And Their Products, Double Concentrate Tomato Paste, En:Tomato-Pastes",https://world.openfoodfacts.org/product/6111021090100/double-concentre-de-tomate-aicha,6111021090100,False,8.357142857142858,118.4,Excellent
Aicha Double Concentré De Tomates 140 G,Aicha,,A,,117.0,0.4,0.0,9.0,0.5,3.0,4.6,"Sans Conservateurs, Point Vert",,"Aliments Et Boissons À Base De Végétaux, Aliments D'Origine Végétale, Aliments À Base De Fruits Et De Légumes, Légumes Et Dérivés, Tomates Et Dérivés, Concentrés De Tomates",https://world.openfoodfacts.org/product/6111021022002/aicha-double-concentre-de-tomates-140-g,6111021022002,False,8.357142857142858,118.4,Excellent
Beanz,Heinz,Tesco,A,,81.0,0.4,0.4,8.7,1.18,7.8,4.8,Vegetarien,,"Plant-Based Foods And Boissons, Plant-Based Foods, Canned Foods, Meals, Prepared Vegetables, Baked Beans In Tomato Sauce",https://world.openfoodfacts.org/product/5000157024855/beanz-heinz,5000157024855,False,5.827338129496403,77.50000000000001,Excellent
Baked Beans,M&S Eat Well,M&S Food,A,,83.0,0.4,0.1,4.1,0.53,3.7,4.4,"Source Of Proteins, High Proteins","United Kingdom,Great Britain,Scotland","Plant-Based Foods And Boissons, Plant-Based Foods, Prepared Vegetables, Baked Beans In Tomato Sauce",https://world.openfoodfacts.org/product/29149858/baked-beans-m-s-eat-well,29149858,False,9.325842696629213,79.1,Excellent
Baked Beans,Bramwells,Aldi,A,,91.0,0.5,0.1,4.8,0.53,4.7,4.7,En:Vegetarien,,"Plant-Based Foods And Boissons, Plant-Based Foods, Legumes And Their Products, Canned Foods, Legumes, Canned Plant-Based Foods, Meals, Prepared Vegetables, Canned Legumes, Baked Beans In Tomato Sauce, Canned Common Beans",https://world.openfoodfacts.org/product/4088600072517/baked-beans-bramwells,4088600072517,False,9.1,86.49999999999999,Excellent
Skyr,Yoplait,"Auchan,Carrefour.Fr",A,,57.0,0.5,0.1,3.6,0.15,0.5,9.5,"Source De Protéines,Lait Français,Point Vert,Riche En Protéines,Sans Matière Grasse,Triman,Nutriscore A,100% Naturel",France,"Produits Laitiers,Produits Fermentés,Produits Laitiers Fermentés,Desserts,Desserts Lactés,Desserts Lactés Fermentés,Desserts Lactés Fermentés Nature,Skyrs,Skyrs Nature",https://world.openfoodfacts.org/product/3329770073265/skyr-yoplait,3329770073265,False,4.1911764705882355,50.7,Excellent
Baked Beans in tomato sauce,Sainsbury’S Bio,,A,,90.0,0.5,0.1,4.7,0.47,6.8,5.3,"Bio, Soil Association Bio, En:Vegetarien",,"Plant-Based Foods And Boissons, Plant-Based Foods, Prepared Vegetables, Baked Beans In Tomato Sauce",https://world.openfoodfacts.org/product/01208610/baked-beans-in-tomato-sauce-sainsbury-s-organic,1208610,True,8.571428571428571,82.7,Excellent
Fromage blanc 0%,Lidl Envia,Lidl,A,,52.0,0.5,0.2,4.6,0.1,0.5,8.5,"Peu Ou Pas De Matière Grasse,Lait Français,Point Vert,Fabriqué En France,Sans Matière Grasse",France,"Produits Laitiers,Produits Fermentés,Produits Laitiers Fermentés,Fromages,Desserts,Desserts Lactés,Desserts Lactés Fermentés,Fromages Blancs - Petit Suisses Et Skyr,Desserts Lactés Fermentés Nature,Fromages Blancs,Fromage Blanc Nature À 0% De Matières Grasses,Fromages Blancs Natures",https://world.openfoodfacts.org/product/20266394/fromage-blanc-0-lidl-envia,20266394,False,3.823529411764706,47.800000000000004,Excellent
Butterbeans in water,Tesco,Tesco,A,,89.0,0.5,0.1,1.1,0.1,4.6,5.9,,,"Plant-Based Foods And Boissons, Plant-Based Foods, Fruits And Vegetables Based Foods, Canned Foods, Vegetables Based Foods, Canned Plant-Based Foods, Canned Vegetables, De:Bohnen",https://world.openfoodfacts.org/product/5051399183664/butterbeans-in-water-tesco,5051399183664,False,11.866666666666667,79.69999999999999,Excellent
Confiture fraise sans sucre ajoutes,Lucien Georgelin,"Carrefour Market,Carrefour",A,,89.0,0.5,0.01,21.7,0.02,8.9,0.6,"Made In France, En:No-Added-Sugar",France 🇫🇷,"Plant-Based Foods And Boissons, Plant-Based Foods, Petits-Dejeuners, Spreads, Plant-Based Spreads, Sweet Spreads, Fruit And Vegetable Preserves, Jams, Berry Jams, En:Strawberry-Jams",https://world.openfoodfacts.org/product/3330720244017/confiture-fraise-sans-sucre-ajoutes-lucien-georgelin,3330720244017,False,3.9035087719298245,101.21000000000001,Excellent
Mixed Beans,Four Seasons,Aldi,A,,106.0,0.5,0.1,0.5,0.06,9.7,7.8,"Low Or No Salt,Vegetarien,Source Of Fibre,High Fibres,No Added Salt",,"Plant-Based Foods And Boissons,Plant-Based Foods,Legumes And Their Products,Canned Foods,Legumes,Seeds,Canned Plant-Based Foods,Legume Seeds,Pulses,Common Beans,Canned Legumes,Canned Common Beans",https://world.openfoodfacts.org/product/4088600140872/mixed-beans-four-seasons,4088600140872,False,12.045454545454545,89.1,Excellent
Baked Beans,Corale,Aldi,A,,89.0,0.524,0.0952,4.81,0.357,3.95,4.19,"No Artificial Flavors, No Artificial Colors, No Artificial Colours Or Flavours",,"Plant-Based Foods And Boissons, Plant-Based Foods, Prepared Vegetables, Baked Beans In Tomato Sauce",https://world.openfoodfacts.org/product/4088600072500/baked-beans-corale,4088600072500,False,9.344813103737925,85.76520000000001,Excellent
POM'POTES Compotes Gourdes Pomme Nature 1x90g,"Materne, Pom'Potes, Sans Sucres Ajoutés","Carrefour,Auchan",A,,61.0,0.6,0.2,11.0,0.01,1.2,0.5,"Sans Gluten, Sans Arômes Artificiels, Sans Conservateurs, Source De Fibres Alimentaires, Pommes De France, Point Vert, Fabriqué En France, Arômes Naturels, Sans Sucre Ajouté, Sans Colorants, Nutriscore, Nutriscore A, Origine France, Triman",France,"Aliments Et Boissons À Base De Végétaux, Aliments D'Origine Végétale, Aliments À Base De Fruits Et De Légumes, Desserts, Fruits Et Produits Dérivés, Compotes, Compotes De Pomme, Compotes Pommes Nature, Compotes À Boire, Desserts De Fruits, Compotes Sans Sucres",https://world.openfoodfacts.org/product/3021769505602/pom-potes-compotes-gourdes-pomme-nature-1x90g-materne,3021769505602,False,5.041322314049587,70.5,Excellent
Baked Beans,Branston,Cora,A,,85.0,0.6,0.1,4.7,0.6,5.9,4.6,"No Gluten, Vegetarien, Green Dot",,"Plant-Based Foods And Boissons, Plant-Based Foods, Legumes And Their Products, Canned Foods, Legumes, Canned Plant-Based Foods, Meals, Prepared Vegetables, Canned Legumes, Baked Beans In Tomato Sauce, Canned Common Beans",https://world.openfoodfacts.org/product/5000232902450/baked-beans-branston,5000232902450,False,8.585858585858587,79.3,Excellent
Baked Beans,"Freshona, Newgate",Lidl,A,,94.0,0.71,0.19,4.9,0.51,7.12,4.81,20425678,,"Plant-Based Foods And Boissons, Plant-Based Foods, Legumes And Their Products, Prepared Vegetables, Baked Beans In Tomato Sauce",https://world.openfoodfacts.org/product/20475604/baked-beans-freshona,20475604,False,9.021113243761997,87.16,Excellent
Medium Egg Noodles imp,"Sharwood'S,Premier Foods",,A,,142.0,0.828,0.207,0.483,0.257,1.59,5.38,"Vegetarien, No Preservatives, No Artificial Colors, En:Green-Dot",,"Plant-Based Foods And Boissons,Plant-Based Foods,Pastas,Noodles",https://world.openfoodfacts.org/product/5000354924712/medium-egg-noodles-imp-sharwood-s,5000354924712,False,21.222537737259007,135.72,Excellent
The Original Crunchy Rye Breads,Ryvita,,A,,352.0,0.952,0.19,2.86,0.762,13.3,10.5,,,"Snacks, Salty-Snacks, Appetizers, Da:Crackers, En:Crispbreads",https://world.openfoodfacts.org/product/5010265002836/the-original-crunchy-rye-breads-ryvita,5010265002836,False,24.594745667970933,331.25,Excellent
Whole Grain Rye Bread,Schneider Brot,,A,,201.0,1.0,0.1,2.2,1.15,7.7,5.2,"No Preservatives, No Added Sugar, En:No-Wheat",Allemagne,"Plant-Based Foods And Boissons, Plant-Based Foods, Cereales And Potatoes, Breads, Rye Breads",https://world.openfoodfacts.org/product/41005514/whole-grain-rye-bread-schneider-brot,41005514,False,23.928571428571427,190.39999999999998,Excellent
Red Kidney Beans,Freshona,Lidl,A,,117.0,1.0,0.1,2.0,0.5,7.0,8.4,"Źródło Błonnika, Wyprodukowano We Włoszech",,"Żywność I Napoje Na Bazie Roślin, Żywność Na Bazie Roślin, Strączkowe I Produkty Strączkowe, Konserwy, Strączkowe, Nasiona, Konserwy Roślinne W Puszkach I Słoikach, En:Legume Seeds, En:Pulses, En:Common Beans, En:Canned Legumes, Fasola Czerwona, En:Canned Common Beans, En:Canned Red Kidney Beans",https://world.openfoodfacts.org/product/20166090/red-kidney-beans-freshona,20166090,False,10.263157894736842,103.69999999999999,Excellent
